馬番,馬名,騎手,過去1_距離,過去1_馬場,過去1_タイム,過去1_上がり3F,過去1_前半速度,過去1_後半速度,過去1_ペース指数,過去2_距離,過去2_馬場,過去2_タイム,過去2_上がり3F,過去2_前半速度,過去2_後半速度,過去2_ペース指数,過去3_距離,過去3_馬場,過去3_タイム,過去3_上がり3F,過去3_前半速度,過去3_後半速度,過去3_ペース指数,過去4_距離,過去4_馬場,過去4_タイム,過去4_上がり3F,過去4_前半速度,過去4_後半速度,過去4_ペース指数,過去5_距離,過去5_馬場,過去5_タイム,過去5_上がり3F,過去5_前半速度,過去5_後半速度,過去5_ペース指数
1,イニシャルティー,多田誠,1400,,1:31.8,39.1,15.18,15.35,0.989,1300,,1:27.5,39.8,14.68,15.08,0.973,1400,,1:33.6,41.0,15.21,14.63,1.04,1300,重,1:27.1,40.0,14.86,15.0,0.991,1300,,1:27.9,40.9,14.89,14.67,1.015
2,トーセンブレンダ,木村直,1400,,1:31.1,38.5,15.21,15.58,0.976,1300,,1:29.7,42.7,14.89,14.05,1.06,1400,,1:35.6,44.7,15.72,13.42,1.171,1300,重,1:28.6,41.6,14.89,14.42,1.033,1230,,1:23.9,41.9,15.0,14.32,1.047
3,エムティパブロ,山崎雅,1400,,1:32.7,40.7,15.38,14.74,1.043,1300,,1:27.9,42.6,15.45,14.08,1.097,1400,,1:33.0,41.1,15.41,14.6,1.055,1300,重,1:27.2,40.9,15.12,14.67,1.031,1300,,1:26.1,40.9,15.49,14.67,1.056
4,アクロポリス,西森将,1400,,1:33.0,41.0,15.38,14.63,1.051,1300,,1:27.7,41.1,15.02,14.6,1.029,1400,,1:32.9,38.8,14.79,15.46,0.957,1600,重,1:49.3,41.2,14.68,14.56,1.008,1300,,1:29.5,41.2,14.49,14.56,0.995
5,エスケーダンディ,岡村卓,1400,,1:33.8,42.2,15.5,14.22,1.09,1300,,1:27.4,41.7,15.32,14.39,1.065,1400,,1:32.8,40.8,15.38,14.71,1.046,1300,重,1:27.5,40.4,14.86,14.85,1.001,1300,,1:26.9,39.6,14.8,15.15,0.977
6,アキロック,大澤誠,1600,,1:47.6,38.8,14.53,15.46,0.94,1300,,1:27.6,40.1,14.74,14.96,0.985,1600,,1:47.1,38.9,14.66,15.42,0.951,1300,重,1:26.2,39.2,14.89,15.31,0.973,1600,,1:47.2,38.2,14.49,15.71,0.922
7,アルデココ,城野慈,1400,,1:32.9,41.2,15.47,14.56,1.062,1300,,1:28.5,43.5,15.56,13.79,1.128,1400,,1:34.1,41.4,15.18,14.49,1.048,1300,,1:24.9,39.7,15.49,15.11,1.025,1400,重,1:35.3,42.2,15.07,14.22,1.06
8,フランフィズ,石本純,1400,,1:31.9,39.2,15.18,15.31,0.992,1300,,1:27.5,39.6,14.61,15.15,0.964,1400,,1:33.6,40.8,15.15,14.71,1.03,1300,重,1:26.8,39.7,14.86,15.11,0.983,1300,,1:26.0,38.1,14.61,15.75,0.928
9,セージブラッシュ,阿部基,1400,,1:32.7,40.6,15.36,14.78,1.039,1300,,1:28.1,41.3,14.96,14.53,1.03,1400,,1:32.1,40.3,15.44,14.89,1.037,1300,重,1:26.4,39.5,14.93,15.19,0.983,1300,,1:25.2,39.7,15.38,15.11,1.018
10,フューチャーアイ,佐原秀,1400,,1:32.2,39.3,15.12,15.27,0.99,1300,,1:27.5,40.6,14.93,14.78,1.01,1400,,1:32.7,39.3,14.98,15.27,0.981,1300,,1:26.4,39.6,14.96,15.15,0.987,1600,重,1:49.7,41.8,14.73,14.35,1.026
11,ショウナンラジョア,塚本直,1400,,1:32.2,39.9,15.3,15.04,1.017,1300,,1:27.9,40.6,14.8,14.78,1.001,1400,,1:33.2,39.3,14.84,15.27,0.972,1300,,1:25.2,39.3,15.25,15.27,0.999,1400,良,1:36.6,43.3,15.01,13.86,1.083
12,ナムラビオラ,上田将,1400,,1:31.9,39.9,15.38,15.04,1.023,1300,,1:27.7,40.6,14.86,14.78,1.005,1400,,1:33.0,40.7,15.3,14.74,1.038,1300,重,1:26.6,40.4,15.15,14.85,1.02,1600,,1:50.4,41.5,14.51,14.46,1.003
